,70,Идеальная чистота повышает вероятность развития аллергии.
,71,С 1930 года средняя продолжительность жизни кошек увеличилась вдвое.
,72,"По статистике, лишь 30% людей любят, когда к ним приходят гости."
,73,"Литр чернил для принтера стоит дороже, чем наша кровь. "
,74,Только 1% людей способны полностью скрывать эмоции от людей.
,75,В штате Огайо США запрещено угощать рыб пивом.
,76,Всего 1 час в наушниках увеличивает количество бактерий в ухе в 700 раз.
,77,"В средневековой Германии существовало поверье, что поцелуй с ослом избавляет от зубной боли."
,78,Живое существо с самым большим мозгом по отношению к телу – муравей.
,79,Невозможно чихнуть с открытыми глазами.
,80,"Дуэли разрешены в Парагвае, если противники зарегистрированы как доноры."
,81,Первые чертежи велосипеда были найдены у Леонардо Да Винчи.
,82,"Люди, живущие в больших городах, ходят на 10% быстрее остальных."
,83,Консервный нож изобрели лишь спустя 48 лет после изобретения консервной банки.
,84,Шоколадка Snickers была названа в честь любимой лошади кондитера.
,85,За полёт Юрию Гагарину заплатили 15 тысяч советских рублей.
,86,Похмелье стоит американской экономике более $200 млрд в год из-за производственных потерь.
,87,Московское метро является самым быстрым в мире.
,88,"Современное общество сьедает лишь 70% еды, остальное выбрасывается в мусор."
,89,Большинство самых умных людей спали более 10 часов в сутки.
,90,"Фета – старейший из известных сыров. Он упоминается ещё в «Одиссее», а это около VIII века до нашей эры"
,91,В Древнем Вавилоне за продажу плохого пива казнили утоплением.
,92,"Если каждый день на завтрак есть персики, то волосы будут расти в 2 раза быстрее."
,93,Моцарт ни разу в жизни не посещал школу.
,94,В 1889 году королева Италии Маргарита Савойская заказала первую доставку пиццы.
,95,Космонавты NASA обязаны знать русский язык.
,96,Традиция задабривать официанта денежкой появилась в английских кофейнях в XVIII веке.
,97,Каждый набранный килограмм лишнего веса заставляет организм создать 22 км новых сосудов.
,98,Человечество сначала отправилось на Луну и лишь потом догадалось приделать колесики к чемодану.  
,99,Мытьё полов в течение 20 минут сжигает более 200 калорий.  
,100,Голландские полицейские обязаны при себе иметь плюшевого мишку на случай если придется успокаивать потерпевшего ребенка.  
,101,Только 22% людей могут шевелить ушами.  
,102,"Учёные доказали, что стакан пива полезнее, чем стакан молока."
,103,"За чувство одиночества отвечает тот же участок мозга, что и за физическую боль.  "
,104,"В среднем, женщины плачут 72 раза в году, а мужчины - 19 раз."
,105,"Женщины относятся к бородатым мужчинам с бо̀льшим доверием, видя в них более надежных мужей.  "
,106,"В списке Forbes Винни Пух занимает второе место как «самый ценный персонаж» со стоимостью в 5,6 миллиардов долларов"
,107,37% женщин не умеют готовить.  
,108,Медитация хотя бы 5 минут в день укрепляет ваши нервы и иммунитет.  
,109,"98% диет бесполезны, потому что их придумывают для заработка на худеющих.  "
,110,Научное название процесса поцелуя — филематология.  
,111,По статистике 38% женщин прощают измену своему возлюбленному. И в 76% случаях измена повторяется.  
,112,Картошку фри придумали в Бельгии в 17 веке.  
,113,"Температура носа повышается, когда человек врёт.  "
,114,"Все ветряные мельницы вращаются против часовой стрелки, и только в Ирландии происходит все наоборот.  "
,115,Социальные сети служат причиной каждого третьего развода.  
,116,"Пиво делает сильнее зубы и кости, так как содержит полезное количество кремния.  "
,117,"Изначально, персики называли Персидскими Яблоками."
,118,Каждую ночь мы неосознанно просыпаемся до 15 раз.  
,119,"Дельфины специально едят ядовитую рыбу фугу, чтобы словить кайф.  "
,120,"Ежедневно 13-15% людей притворяются, что разговаривают по телефону, чтобы избежать неприятного разговора.  "
,121,"80% людей спрашивают как дела, для того, чтобы потом спросили у них.  "
,122,"В месяцах, которые начинаются в воскресенье, всегда будет пятница 13-ое.  "
,123,Если вы прочитали 300 страниц книги - то ваши глаза проделали путь в 1 км.  
,124,"По правилам, на БигМаке должно быть ровно 178 семян кунжута.  "
,125,Лишь 30% всех книг в мире покупается мужчинами.  
,126,В Сингапуре жвачку можно купить только в аптеке по рецепту врача в лечебных целях.  
,127,Более 60% людей по всему миру не доверяют полицейским.  
,128,Молоко способствует быстрому выведению алкоголя из печени и почек.  
,129,На Земле находится около 500тыс островов и только на 2% из них обитают люди.  
,130,Только 5% людей могут есть всё что угодно и не толстеть.  
,131,Пунктумофобия — боязнь получить сообщение с точкой в конце.  
,132,На Марсе восход и закат Солнца голубого цвета.  
,133,"На самом деле мыши не любят сыр, они лишь реагируют на резкий запах.  "
,134,Солнечный свет выделает гормон счастья.  
,135,У людей левая сторона лица считается более привлекательной.
,136,Примерно 1% населения планеты всегда пьяны.  
,137,Только 3-4% курильщиков бросают курить.  
,138,В бразильских тюрьмах каждая прочтённая книга может сократить срок на 4 дня.  
,139,Без сна человек не проживёт и 11 дней.  
,140,"Тариф - это остров в Средиземном море, где впервые стали брать плату за стоянку в порту.  "
,141,"Простым карандашом с твердым грифелем можно провести линию длиной 57 км, пока он не закончится."
,142,Первая компьютерная мышь была сделана из дерева.
,143,У собак бывает аллергия на людей.  
,144,Первая шайба для хоккей была квадратной.  
,145,Аромат корицы – способен улучшить работу мозга и зрительную память.  
,146,"Чтобы переварить капусту, необходимо потратить больше калорий, чем мы можем от неё получить"
,147,"Если съедать понемногу мёда каждый день, ваша кожа станет лучше.  "
,148,"Когда возраст человека достигает 19 лет и 4 дня, ему исполняется 10 млн минут.  "
,149,Смартфон как термин был введён в 2000 году.
,150,80% людей при чистке зубов не закрывают кран.  
,151,1кг чипсов в 200 раз дороже 1кг картошки.  
,152,"Дети улыбаются около 400 раз в день, а взрослые - 17 раз.  "
,153,Ни в одном языке мира нет слова для обозначения обратной стороны коленки
,154,"Количество машин на планете увеличивается в 3 раза быстрее, чем её население."
,155,"Ньютону было 23 года, когда он открыл закон всемирного тяготения."
,156,Ваниль считается одним из наиболее сильных афродизиаков.
,157,"Владельцы собак смеются чаще, чем владельцы кошек."
,158,"Самая быстрая бегунья на каблуках пробежала 100 метров за 14,5 секунд."
,159,Долгий сон не очень полезен для здоровья.
,160,Более чем 30% современных людей заводят более 3-х будильников сразу.
,161,"Психологи выяснили, что самое счастливое время - суббота в 19:26."
,162,"Самки стрекоз иногда притворяются мёртвыми, чтобы не общаться с самцами."
,163,Мужчины тратят около года жизни на рассматривание девушек.
,164,Кошки уничтожили 33 вида живых существ
,165,
,166,
,167,
